,title,model_family,downstream_application,omics_modality
252,Contextual AI models for single-cell protein biology,foundation_scale_pretraining,"cell_type_annotation, perturbation_prediction, generation, multimodal_integration",Protein/CITE-seq
253,Single-cell gene regulatory network prediction by explainable AI,perturbation_prediction,generation,unspecified
254,Swin Transformer and Momentum Contrast (MoCo) in Leukemia Diagnostics: A New Paradigm in AI-Driven Blood Cell Cancer Classification,foundation_scale_pretraining,"cell_type_annotation, generation",unspecified
255,Single-cell foundation models: bringing artificial intelligence into cell biology,foundation_scale_pretraining,"cell_type_annotation, batch_correction",unspecified
256,Bacteria detection and species identification at the single-cell level using super-resolution fluorescence imaging and AI analysis.,other_or_unclassified,"generation, multimodal_integration",Protein/CITE-seq
257,Enhancing single-cell biology through advanced AI-powered microfluidics.,multimodal_fusion,"cell_type_annotation, multimodal_integration",scATAC-seq
258,Multi-Dimensional Spectral Geometry of Biological Knowledge in Single-Cell Transformer Representations,foundation_scale_pretraining,"perturbation_prediction, biomarker_discovery, multimodal_integration",Protein/CITE-seq
259,Biosensors for single-cell mechanical characterization,other_or_unclassified,unspecified,unspecified
260,A Ligand-Centered Framework for γδ T Cell Activation in Colorectal Cancer Revealed by Single-Cell and Transformer-Based Perturbation,perturbation_prediction,perturbation_prediction,scRNA-seq
261,Single-cell analysis and infectious disease forecasting: Google's new AI scientist,hybrid_symbolic_statistical,unspecified,unspecified
262,SLECA: a single-cell atlas of systemic lupus erythematosus enabling rare cell discovery using graph transformer,multimodal_fusion,"cell_type_annotation, perturbation_prediction, batch_correction",unspecified
263,"Distributed Collaboration for Data, Analysis Pipelines, and Results in Single-Cell Omics",foundation_scale_pretraining,unspecified,scATAC-seq
264,Operation of Single-Delta Bridge-Cell Converter With Single-Phase Medium-Frequency Transformer Under Low Magnetizing Inductance,other_or_unclassified,unspecified,unspecified
265,Reviewer #2 (Public review): SCellBOW: AI-Driven Tumor Risk Stratification from Single-Cell Transcriptomics Using Phenotype Algebra,other_or_unclassified,unspecified,unspecified
266,eLife Assessment: SCellBOW: AI-Driven Tumor Risk Stratification from Single-Cell Transcriptomics Using Phenotype Algebra,other_or_unclassified,unspecified,unspecified
267,AI-Enhanced Nanoparticle Analysis: Integrating Single-Shot Object Detection and Vision Transformer for Rapid and Accurate Characterization,other_or_unclassified,unspecified,unspecified
268,Identifying spatial single-cell-level interactions with graph transformer,spatial_omics,spatial_reconstruction,unspecified
269,Web-Based Application Design to Differentiate AI-Generated Videos from Original Videos Using Transformer Method,other_or_unclassified,generation,unspecified
270,Separable Spatial Single-cell Transcriptome Representation Learning via Graph Transformer and Hyperspherical Prototype Clustering,graph_neural_network,"cell_type_annotation, spatial_reconstruction","scRNA-seq, Spatial"
271,scTGCL: A Transformer-Based Graph Contrastive Learning Approach for Efficiently Clustering Single-Cell RNA-seq Data,transformer_masked_lm,"biomarker_discovery, generation",scRNA-seq
272,A Single-stage Interpretable Vision Transformer Model Via Granular-ball Computing,hybrid_symbolic_statistical,unspecified,unspecified
273,Transformer,other_or_unclassified,unspecified,unspecified
274,The Role of Transformer Models in Cloud AI Services,hybrid_symbolic_statistical,unspecified,unspecified
275,GeoViTMamba: A Hybrid Vision Transformer and Transformer Decoder for Semantic Remote Sensing Image Captioning,hybrid_symbolic_statistical,unspecified,unspecified
276,Robust Single-Cell RNA-Seq Analysis Using Hyperdimensional Computing: Enhanced Clustering and Classification Methods,variational_autoencoder,cell_type_annotation,"scRNA-seq, Protein/CITE-seq, Methylation/Epigenomics"
277,scSwin: a supervised cell-type annotation method for single-cell RNA sequencing data using Swin Transformer,other_or_unclassified,cell_type_annotation,unspecified
278,"Diverse Approaches, Common Goals Evident at Single-Cell/AI Symposium",other_or_unclassified,unspecified,unspecified
279,SCAPE: An AI-Driven Platform for Comprehensive Single-Cell Data Analysis,multimodal_fusion,"batch_correction, spatial_reconstruction, trajectory_inference, multimodal_integration","scRNA-seq, Spatial"
280,Unsupervised generative AI discovers pan-leukocyte dysregulated pathways in single-cell lupus data,foundation_scale_pretraining,unspecified,scRNA-seq
281,Single-Cell Multimodal Integration,multimodal_fusion,"batch_correction, multimodal_integration",unspecified
282,Survey: Transformer based video-language pre-training,other_or_unclassified,unspecified,unspecified
283,CytoVerse: Single-Cell AI Foundation Models in the Browser,foundation_scale_pretraining,unspecified,scRNA-seq
284,"Live Eco-AI, Electrophoresis-Correlative Data-Dependent Acquisition with Artificial Intelligence-Based Data Processing Democratizes Single-Cell Mass Spectrometry Proteomics",multimodal_fusion,"trajectory_inference, multimodal_integration",Protein/CITE-seq
285,Efficient transformer architectures,other_or_unclassified,unspecified,unspecified
286,Distinguishing Malicious Drones Using Vision Transformer,hybrid_symbolic_statistical,cell_type_annotation,unspecified
287,Nowcasting Earthquakes with QuakeGPT An AI-Enhanced Earthquake Generative Pretrained Transformer,foundation_scale_pretraining,unspecified,unspecified
288,[WITHDRAWN] AI-Driven Fraud Detection in Payments Using Transformer-Based Behavioral Modeling,hybrid_symbolic_statistical,unspecified,unspecified
289,AI-Driven Tax Analytics with Transformer-Based Text Mining,foundation_scale_pretraining,unspecified,unspecified
290,Empowering Healthcare With AI-Driven Transformer Models,transformer_masked_lm,"perturbation_prediction, batch_correction, generation",unspecified
291,Multi-agent AI enables evidence-based cell annotation in single-cell transcriptomics,foundation_scale_pretraining,"cell_type_annotation, generation",unspecified
292,SCTGE infers transformer-based graph embeddings to improve cell-cell interaction identification and cell identity annotations.,graph_neural_network,"cell_type_annotation, spatial_reconstruction","scRNA-seq, Spatial"
293,GRNFormer: accurate gene regulatory network inference using graph transformer.,variational_autoencoder,cell_type_annotation,scRNA-seq
294,Parameter-free representations outperform single-cell foundation models on downstream benchmarks.,foundation_scale_pretraining,cell_type_annotation,scRNA-seq
295,SpaLSTF: Diffusion-based generative model with BiLSTM and XCA-Transformer for spatial transcriptomics imputation.,multimodal_fusion,"generation, spatial_reconstruction","scRNA-seq, Spatial"
296,CeLLTra: aligning cell names with gene expression via a pathway-informed transformer.,foundation_scale_pretraining,"cell_type_annotation, biomarker_discovery",scRNA-seq
297,Deciphering hierarchical regulatory network of cell fate via an epigenetics-informed heterogeneous graph transformer on single-cell multi-omics data.,multimodal_fusion,"perturbation_prediction, trajectory_inference, multimodal_integration",scATAC-seq
298,scPlantAnnotate: an accurate and robust transformer-based model for plant cell type annotation.,foundation_scale_pretraining,"cell_type_annotation, batch_correction",scRNA-seq
299,GCLSC: Single-cell clustering model based on graph contrastive learning.,hybrid_symbolic_statistical,"cell_type_annotation, batch_correction",scRNA-seq
300,MR-DELTAnet: A Longitudinal MRI-Transformer Model Predicting Pathological Complete Response and Revealing Immune Microenvironment via scRNA-seq in Locally Advanced Rectal Cancer.,hybrid_symbolic_statistical,unspecified,unspecified
301,CausalGenDiff: Generative causal diffusion bridges scRNA-seq and spatial transcriptomics.,transformer_masked_lm,"batch_correction, generation, spatial_reconstruction","scRNA-seq, Spatial"
302,Scaling transformers to high-dimensional sparse data: a Reformer-BERT approach for large-scale classification.,transformer_masked_lm,"cell_type_annotation, generation",scRNA-seq
303,Comparative Single-Cell Transcriptomics Uncovers Shared and Distinct Molecular Signatures in Cystic Fibrosis and Primary Ciliary Dyskinesia.,foundation_scale_pretraining,"biomarker_discovery, multimodal_integration","scRNA-seq, Protein/CITE-seq"
304,Transformer and graph variational autoencoder to identify microenvironments: A deep learning protocol for spatial transcriptomics.,variational_autoencoder,"batch_correction, spatial_reconstruction","scRNA-seq, Spatial"
305,Attention-Guided Probabilistic Diffusion Model for Generating Cell-Type-Specific Gene Regulatory Networks from Gene Expression Profiles.,transformer_masked_lm,"generation, multimodal_integration","scRNA-seq, Protein/CITE-seq"
306,Heimdall: A Modular Framework for Tokenization in Single-Cell Foundation Models.,spatial_omics,"cell_type_annotation, perturbation_prediction, generation, spatial_reconstruction","scRNA-seq, Spatial"
307,Atacformer: A transformer-based foundation model for analysis and interpretation of ATAC-seq data.,foundation_scale_pretraining,"cell_type_annotation, batch_correction, generation, multimodal_integration","scRNA-seq, scATAC-seq"
308,Nephrobase Cell+: Multimodal Single-Cell Foundation Model for Decoding Kidney Biology.,transformer_masked_lm,"cell_type_annotation, batch_correction, spatial_reconstruction, trajectory_inference, multimodal_integration","scRNA-seq, scATAC-seq, Spatial"
309,GT-GRN: a graph transformer framework for enhanced gene regulatory network inference via multimodal embedding of expression data and existing network knowledge.,transformer_masked_lm,"cell_type_annotation, multimodal_integration",unspecified
310,Branch-specific gene discovery in cell differentiation using multi-omics graph attention.,multimodal_fusion,"batch_correction, trajectory_inference, multimodal_integration","scRNA-seq, scATAC-seq"
311,From pixels to cell types: a comprehensive review of computational methods for spatial transcriptomics deconvolution.,spatial_omics,"cell_type_annotation, spatial_reconstruction","scRNA-seq, Spatial"
312,scMapNet: Marker-based cell type annotation of scRNA-seq data via vision transfer learning with tabular-to-image transformations.,transformer_masked_lm,"cell_type_annotation, biomarker_discovery, batch_correction",unspecified
313,Cross-modal contrastive learning decodes developmental regulatory features through chromatin potential analysis.,multimodal_fusion,"cell_type_annotation, batch_correction, multimodal_integration",scATAC-seq
314,Bioinformatics Analysis of Tumor-Associated Macrophages in Hepatocellular Carcinoma and Establishment of a Survival Model Based on Transformer.,graph_neural_network,"cell_type_annotation, trajectory_inference",unspecified
315,scHDeepInsight: a hierarchical deep learning framework for precise immune cell annotation in single-cell RNA-seq data.,foundation_scale_pretraining,cell_type_annotation,scRNA-seq
316,Cisformer: a scalable cross-modality generation framework for decoding transcriptional regulation at single-cell resolution.,hybrid_symbolic_statistical,generation,scATAC-seq
317,HEIST: A Graph Foundation Model for Spatial Transcriptomics and Proteomics Data.,transformer_masked_lm,"cell_type_annotation, generation, spatial_reconstruction, multimodal_integration","scRNA-seq, Protein/CITE-seq, Spatial"
318,Predicting the regulatory impacts of noncoding variants on gene expression through epigenomic integration across tissues and single-cell landscapes.,multimodal_fusion,"cell_type_annotation, batch_correction",scATAC-seq
319,Graph-based deep learning for integrating single-cell and bulk transcriptomic data to identify clinical cancer subtypes.,multimodal_fusion,"biomarker_discovery, batch_correction, multimodal_integration",scRNA-seq
320,Application of artificial intelligence large language models in drug target discovery.,transformer_masked_lm,"perturbation_prediction, batch_correction, multimodal_integration","scRNA-seq, Protein/CITE-seq"
321,IGCLAPS: an interpretable graph contrastive learning method with adaptive positive sampling for scRNA-seq data analysis.,hybrid_symbolic_statistical,"cell_type_annotation, biomarker_discovery, generation",scRNA-seq
322,scIMGCN: an Automatic Single-Cell Type Annotation Method Based on Interpretable Graph Convolutional Network.,transformer_masked_lm,cell_type_annotation,scRNA-seq
323,scVDM: A Diffusion Model Integrated With Conditional VAE for Generative Single-Cell Tasks.,variational_autoencoder,"perturbation_prediction, batch_correction, generation",scRNA-seq
324,scGT:integration algorithm for single-cell RNA-seq and ATAC-seq based on graph transformer.,multimodal_fusion,"cell_type_annotation, batch_correction, multimodal_integration","scRNA-seq, scATAC-seq"
325,sciLaMA: A Single-Cell Representation Learning Framework to Leverage Prior Knowledge from Large Language Models.,variational_autoencoder,"batch_correction, generation, multimodal_integration",scRNA-seq
326,A robust multi-scale clustering framework for single-cell RNA-seq data analysis.,foundation_scale_pretraining,cell_type_annotation,scRNA-seq
327,HL-BscPF: Hybrid learning facilitates brain cell auto-identification in multiple pathologies.,variational_autoencoder,cell_type_annotation,scRNA-seq
328,scSTD: A Swin Transformer-Based Diffusion Model for Recovering scRNA-Seq Data.,variational_autoencoder,"batch_correction, generation, multimodal_integration",scRNA-seq
329,The Dissipation Theory of Aging: A Quantitative Analysis Using a Cellular Aging Map.,foundation_scale_pretraining,cell_type_annotation,unspecified
330,TransAnno-Net: A Deep Learning Framework for Accurate Cell Type Annotation of Mouse Lung Tissue Using Self-supervised Pretraining.,foundation_scale_pretraining,cell_type_annotation,scRNA-seq
331,SGTB: A graph representation learning model combining transformer and BERT for optimizing gene expression analysis in spatial transcriptomics data.,transformer_masked_lm,"cell_type_annotation, generation, spatial_reconstruction","scRNA-seq, Spatial"
332,scTrans: Sparse attention powers fast and accurate cell type annotation in single-cell RNA-seq data.,foundation_scale_pretraining,"cell_type_annotation, trajectory_inference",unspecified
333,scCCTR: An iterative selection-based semi-supervised clustering model for single-cell RNA-seq data.,hybrid_symbolic_statistical,cell_type_annotation,"scRNA-seq, Methylation/Epigenomics"
334,AttentionGRN: a functional and directed graph transformer for gene regulatory network reconstruction from scRNA-seq data.,graph_neural_network,cell_type_annotation,scRNA-seq
335,Mouse-Geneformer: A deep learning model for mouse single-cell transcriptome and its cross-species utility.,transformer_masked_lm,"cell_type_annotation, perturbation_prediction",scRNA-seq
336,scPlantLLM: A Foundation Model for Exploring Single-cell Expression Atlases in Plants.,transformer_masked_lm,"cell_type_annotation, batch_correction, generation",scRNA-seq
337,Multi-omics analyses and machine learning prediction of oviductal responses in the presence of gametes and embryos.,multimodal_fusion,"biomarker_discovery, multimodal_integration","scRNA-seq, Protein/CITE-seq"
338,scFTAT: a novel cell annotation method integrating FFT and transformer.,foundation_scale_pretraining,cell_type_annotation,scRNA-seq
339,CausalGeD: Blending Causality and Diffusion for Spatial Gene Expression Generation.,transformer_masked_lm,"batch_correction, generation, spatial_reconstruction","scRNA-seq, Spatial"
340,DECA: harnessing interpretable transformer model for cellular deconvolution of chromatin accessibility profile.,perturbation_prediction,"cell_type_annotation, perturbation_prediction, biomarker_discovery, generation, spatial_reconstruction, trajectory_inference, multimodal_integration",scATAC-seq
341,scRDiT: Generating Single-cell RNA-seq Data by Diffusion Transformers and Accelerating Sampling.,multimodal_fusion,generation,scRNA-seq
342,scHiGex: predicting single-cell gene expression based on single-cell Hi-C data.,foundation_scale_pretraining,"cell_type_annotation, generation",unspecified
343,Transformer-based modeling of Clonal Selection and Expression Dynamics reveals resistance mechanisms in breast cancer.,hybrid_symbolic_statistical,perturbation_prediction,scRNA-seq
344,Integrating Prior Knowledge Using Transformer for Gene Regulatory Network Inference.,variational_autoencoder,cell_type_annotation,scRNA-seq
345,Robust self-supervised learning strategy to tackle the inherent sparsity in single-cell RNA-seq data.,other_or_unclassified,"cell_type_annotation, perturbation_prediction, biomarker_discovery, generation, multimodal_integration","scRNA-seq, scATAC-seq"
346,scGraphformer: unveiling cellular heterogeneity and interactions in scRNA-seq data using a scalable graph transformer network.,graph_neural_network,cell_type_annotation,scRNA-seq
347,SpaDiT: diffusion transformer for spatial gene expression prediction using scRNA-seq.,multimodal_fusion,spatial_reconstruction,"scRNA-seq, Spatial"
348,scGAA: a general gated axial-attention model for accurate cell-type annotation of single-cell RNA-seq data.,hybrid_symbolic_statistical,cell_type_annotation,scRNA-seq
349,A self-training interpretable cell type annotation framework using specific marker gene.,hybrid_symbolic_statistical,"cell_type_annotation, biomarker_discovery",scRNA-seq
350,scSwinFormer: A Transformer-Based Cell-Type Annotation Method for scRNA-Seq Data Using Smooth Gene Embedding and Global Features.,hybrid_symbolic_statistical,cell_type_annotation,scRNA-seq
351,PathFinder: a novel graph transformer model to infer multi-cell intra- and inter-cellular signaling pathways and communications.,foundation_scale_pretraining,"cell_type_annotation, generation",scRNA-seq
352,Multimodal Learning for Mapping the Genotype-Phenotype Dynamics.,multimodal_fusion,"biomarker_discovery, multimodal_integration",scRNA-seq
353,Continually adapting pre-trained language model to universal annotation of single-cell RNA-seq data.,multimodal_fusion,"cell_type_annotation, batch_correction",scRNA-seq
354,Mechanism of breast cancer immune microenvironment in prognosis of heart failure.,hybrid_symbolic_statistical,unspecified,unspecified
355,scDeepInsight: a supervised cell-type identification method for scRNA-seq data with deep learning.,multimodal_fusion,"cell_type_annotation, biomarker_discovery, batch_correction",scRNA-seq
356,Inference of single cell profiles from histology stains with the Single Cell omics from Histology Analysis Framework (SCHAF).,spatial_omics,"cell_type_annotation, generation, spatial_reconstruction","scRNA-seq, Spatial"
357,CLM-X: A multimodal single-cell foundation model with flexible multi-way Transformer for unified scRNA-seq and scATAC-seq analysis,transformer_masked_lm,"cell_type_annotation, perturbation_prediction, batch_correction, multimodal_integration","scRNA-seq, scATAC-seq"
358,MSK KO-village scRNA-seq v1,other_or_unclassified,cell_type_annotation,scRNA-seq
359,scRFR: imputation of single-cell RNA-seq data based on recurrent feature inference scRFR: scRNA-seq imputation algorithm Image restoration technology applied to scRNA-seq imputation - scRNA-seq imputation algorithm uses recurrent feature inference model,hybrid_symbolic_statistical,generation,unspecified
360,Human scRNA-seq Alignment Pipeline Version 1.0 v1,foundation_scale_pretraining,"cell_type_annotation, batch_correction, generation",scRNA-seq
361,Human CSF Processing  for 10x scRNA-seq v1,other_or_unclassified,unspecified,unspecified
362,scRNA-seq protocol v1,other_or_unclassified,unspecified,scRNA-seq
363,JMN-MSMP Mouse Muscle Fibrosis scRNA-seq v1,foundation_scale_pretraining,generation,scRNA-seq
364,Fast and interpretable scRNA-seq data analysis,hybrid_symbolic_statistical,cell_type_annotation,scRNA-seq
365,scRNA-seq for Microcephaly Research [III]: Computational Analysis of scRNA-seq Data,other_or_unclassified,unspecified,unspecified
366,"Whole exome sequencing (WES), mutation and copy number analysis and Single-cell RNA-seq (scRNA-seq) v1",other_or_unclassified,unspecified,scRNA-seq
367,Interoperability between Bioconductor and Python for scRNA-seq analysis,other_or_unclassified,trajectory_inference,scRNA-seq
368,Overview of scRNA-seq of Human Knee Meniscus v1,other_or_unclassified,unspecified,scRNA-seq
369,Single-cell suspension preparation for scRNA-seq (10x chromium) v1,other_or_unclassified,unspecified,unspecified
370,JAX SCBL workflow for scRNA-seq of human placenta v1,other_or_unclassified,generation,scRNA-seq
371,Self-supervised Graph Contrastive Learning for scRNA-seq Clustering,transformer_masked_lm,cell_type_annotation,scRNA-seq
372,Direct-seq: employing programmed gRNA scaffold for streamlined scRNA-seq in CRISPR screen,perturbation_prediction,perturbation_prediction,scRNA-seq
373,Integrating unmatched scRNA-seq and scATAC-seq data and learning cross-modality relationship simultaneously,hybrid_symbolic_statistical,"batch_correction, trajectory_inference, multimodal_integration","scRNA-seq, scATAC-seq"
374,Human Knee Meniscus Collection Protocol for scRNA-seq v1,other_or_unclassified,unspecified,scRNA-seq
375,Editor's evaluation: Integrative analysis of scRNA-seq and scATAC-seq revealed transit-amplifying thymic epithelial cells expressing autoimmune regulator,other_or_unclassified,multimodal_integration,unspecified
376,Archival preservation of cell suspensions for scRNA-Seq  v1,other_or_unclassified,generation,scRNA-seq
377,[Digital twins in uro-oncology].,multimodal_fusion,"batch_correction, multimodal_integration",unspecified
378,Combined multi-omics and multi-spectral profiling of plasma extracellular vesicles reveals liquid biopsy biomarkers for glioma diagnosis.,multimodal_fusion,"biomarker_discovery, generation, multimodal_integration",Protein/CITE-seq
379,Subset binding enables detection of multimodal patient subgroup patterns and drug target discovery in idiopathic pulmonary fibrosis.,multimodal_fusion,"perturbation_prediction, biomarker_discovery, multimodal_integration",Protein/CITE-seq
380,A pipeline of machine learning-driven multi-modal data fusion methods for prognostic risk analysis in bevacizumab-treated metastatic colorectal cancer.,multimodal_fusion,biomarker_discovery,unspecified
381,"The Nexus of Stemness, Telomere Stability, and Metabolic Reprogramming in Glioblastoma: Foundations of Tumor Persistence and Targets for Intervention.",multimodal_fusion,"biomarker_discovery, generation, spatial_reconstruction, multimodal_integration",Spatial
382,Multimodal AI fuses proteomic and EHR data for rational prioritization of protein biomarkers in diabetic retinopathy.,multimodal_fusion,"biomarker_discovery, generation, multimodal_integration",Protein/CITE-seq
383,Recent advances in machine learning-enhanced extracellular vesicle omics for oncology.,multimodal_fusion,"biomarker_discovery, multimodal_integration","scRNA-seq, Protein/CITE-seq"
384,AI-Driven Drug Discovery: Focus on Targets for Solid Tumors.,multimodal_fusion,"perturbation_prediction, batch_correction, multimodal_integration",unspecified
385,Artificial Intelligence in Cardiovascular Medicine: Focus on Hypertension.,multimodal_fusion,"batch_correction, multimodal_integration",unspecified
386,"Large language model agents for biological intelligence across genomics, proteomics, spatial biology, and biomedicine.",multimodal_fusion,"batch_correction, spatial_reconstruction, multimodal_integration",unspecified
387,LazySlide: accessible and interoperable whole-slide image analysis.,multimodal_fusion,"cell_type_annotation, batch_correction, multimodal_integration",unspecified
388,Artificial intelligence for precision oncology from phenotyping and drug discovery to clinical translation.,multimodal_fusion,"perturbation_prediction, multimodal_integration",unspecified
389,"Artificial intelligence in inflammatory bowel disease: bridging innovation, implementation and impact.",multimodal_fusion,"batch_correction, generation, multimodal_integration",unspecified
390,A deep adversarial network model for multi-task analysis of single-cell omics data.,multimodal_fusion,"cell_type_annotation, batch_correction, multimodal_integration",unspecified
391,"Human Systems Immunology in the Omics Era: Challenges, Methods, and Emerging Directions.",multimodal_fusion,"biomarker_discovery, batch_correction, multimodal_integration",unspecified
392,Deep Learning-Enabled Multi-Omics Integration: A New Frontier in Precise Drug Target Discovery.,multimodal_fusion,"perturbation_prediction, batch_correction, generation, multimodal_integration",unspecified
393,Leveraging co-attention-based interactions between pathology and radiology for pan-cancer survival prediction.,multimodal_fusion,unspecified,unspecified
394,Machine learning model on multi-omics data enables risk stratification and identifies molecular heterogeneity and therapeutic targets in glioblastoma.,multimodal_fusion,"biomarker_discovery, batch_correction, multimodal_integration","scRNA-seq, Protein/CITE-seq"
395,Brain organoids as precision models for neurodegenerative diseases: from disease modeling to drug discovery.,multimodal_fusion,"cell_type_annotation, perturbation_prediction, batch_correction, multimodal_integration",unspecified
396,Artificial intelligence in immunotherapy: revolutionizing diagnostic and therapeutic applications in cancer and autoimmune diseases.,multimodal_fusion,"biomarker_discovery, generation, multimodal_integration",unspecified
397,Artificial intelligence models: transforming early diagnosis and precise treatment of gastrointestinal cancers.,graph_neural_network,"biomarker_discovery, batch_correction, multimodal_integration",unspecified
398,"Graph Learning in Bioinformatics: A Survey of Graph Neural Network Architectures, Biological Graph Construction and Bioinformatics Applications.",graph_neural_network,"perturbation_prediction, batch_correction, generation, spatial_reconstruction, multimodal_integration","Protein/CITE-seq, Spatial"
399,"Transformer Models, Graph Networks, and Generative AI in Gut Microbiome Research: A Narrative Review.",graph_neural_network,"biomarker_discovery, batch_correction, multimodal_integration","scRNA-seq, Protein/CITE-seq"
400,Artificial intelligence-powered prediction of diabetic complications: from clinical data to molecular omics.,multimodal_fusion,"batch_correction, multimodal_integration",unspecified
401,We wait for disease to shout-What if we listened when biology whispered?,multimodal_fusion,"perturbation_prediction, biomarker_discovery, multimodal_integration",unspecified
402,High-resolution spatial multi-omics enables prognostic scoring in intrahepatic cholangiocarcinoma.,multimodal_fusion,"spatial_reconstruction, multimodal_integration","Protein/CITE-seq, Spatial"
403,Harnessing AI to fuse phenotypic signatures for drug target identification: progress in computational modeling.,multimodal_fusion,"perturbation_prediction, biomarker_discovery, batch_correction, generation, multimodal_integration",unspecified
404,"Risk prediction in IgA nephropathy: from conventional models to machine learning, deep learning, and precision nephrology.",multimodal_fusion,"generation, multimodal_integration",unspecified
405,"Histopathology-centered Computational Evolution of Spatial Omics: Integration, Mapping, and Foundation Models.",multimodal_fusion,"batch_correction, spatial_reconstruction, multimodal_integration","scRNA-seq, Protein/CITE-seq, Spatial"
406,"Redefining Pathobiology with Spatial Multi-Omics at the Intersection of Biology, Computation, and Histopathological Assessment.",multimodal_fusion,"perturbation_prediction, biomarker_discovery, batch_correction, spatial_reconstruction, multimodal_integration",Spatial
407,Digital-Intelligent Precision Health Management: An Integrative Framework for Chronic Disease Prevention and Control.,multimodal_fusion,"batch_correction, generation, multimodal_integration",unspecified
408,Multi-modal data to identify key factors influencing lung injury in ARDS patients undergoing invasive mechanical ventilation: A prospective multi-center observational study protocol.,multimodal_fusion,"cell_type_annotation, biomarker_discovery, multimodal_integration","scRNA-seq, Protein/CITE-seq"
409,Charting exposomethics: a roadmap for the ethical foundations of the human exposome project.,multimodal_fusion,"batch_correction, spatial_reconstruction, multimodal_integration",unspecified
410,Comparative evaluation of multimodal point-of-care tests to differentiate gram-negative from gram-positive infections in critically ill adults: a diagnostic accuracy study.,multimodal_fusion,"biomarker_discovery, multimodal_integration",unspecified
411,Spatially resolved integrative analysis of transcriptomic and metabolomic changes in tissue injury studies.,multimodal_fusion,"perturbation_prediction, batch_correction, generation, spatial_reconstruction, multimodal_integration","scRNA-seq, Spatial"
412,Bridging ancient wisdom and modern technology: an AI and multi-omics framework for three causes tailored treatment in personalized medicine.,multimodal_fusion,"batch_correction, multimodal_integration",Protein/CITE-seq
413,"Spatial omics at the forefront: emerging technologies, analytical innovations, and clinical applications.",multimodal_fusion,"batch_correction, generation, spatial_reconstruction, multimodal_integration",Spatial
414,Interpretable multimodal deep learning improves postoperative risk stratification in intrahepatic cholangiocarcinoma in multicentre cohorts.,multimodal_fusion,"spatial_reconstruction, multimodal_integration","scRNA-seq, Protein/CITE-seq, Spatial"
415,From Classical Machine Learning to Emerging Foundation Models: Review on Multimodal Data Integration for Cancer Research.,multimodal_fusion,"cell_type_annotation, biomarker_discovery, batch_correction, generation, multimodal_integration",Protein/CITE-seq
416,Single-Cell Transcriptome Meta-Analysis Reveals Epigenomic and Chromatin Dysregulation in Developing Neurons Derived From Human ESCs With 1q21.1 CNVs.,multimodal_fusion,"biomarker_discovery, multimodal_integration","scRNA-seq, scATAC-seq"
417,Query-driven generative AI synthesizes multi-modal spatial omics from histology.,multimodal_fusion,"cell_type_annotation, spatial_reconstruction","scRNA-seq, Protein/CITE-seq, Spatial"
418,Bio-interpretable ensemble learning model for invasive pulmonary adenocarcinoma grade using CT and histopathology images.,multimodal_fusion,"biomarker_discovery, batch_correction, multimodal_integration",unspecified
419,High-parameter spatial multi-omics through histology-anchored integration.,multimodal_fusion,"batch_correction, spatial_reconstruction, multimodal_integration",Spatial
420,Few-shot drug synergy prediction via rapid cross-tier adaptation meta-optimization.,multimodal_fusion,"perturbation_prediction, multimodal_integration",unspecified
421,Integrating multimodal data to identify single nucleotide polymorphism-related biomarkers and regulatory mechanisms in Alzheimer's disease.,multimodal_fusion,"cell_type_annotation, biomarker_discovery, batch_correction, multimodal_integration",scRNA-seq
422,"AI-driven virtual cell models in preclinical research: technical pathways, validation mechanisms, and clinical translation potential.",graph_neural_network,"perturbation_prediction, batch_correction, multimodal_integration","scRNA-seq, Protein/CITE-seq"
423,Bronchoalveolar lavage fluid metagenomic datasets: a multidimensional clinical biomolecular resource.,multimodal_fusion,"biomarker_discovery, generation, multimodal_integration",unspecified
424,Long Noncoding RNA function prediction via multiview cross-contrastive learning combined with multiscale semantic adaptive optimization.,variational_autoencoder,"cell_type_annotation, multimodal_integration",unspecified
425,AI-based neoadjuvant immunotherapy response prediction across pan-cancer: a comprehensive review.,multimodal_fusion,"biomarker_discovery, batch_correction, multimodal_integration",unspecified
426,CelLink: integrating single-cell multi-omics data with weak feature linkage and imbalanced cell populations.,multimodal_fusion,"cell_type_annotation, batch_correction, generation, spatial_reconstruction, multimodal_integration","scRNA-seq, Protein/CITE-seq, Spatial"
427,Hypergraph-driven spatial multimodal fusion for precise domain delineation and tumor microenvironment decoding.,graph_neural_network,"spatial_reconstruction, multimodal_integration","scRNA-seq, Spatial"
428,Spatial omics in 3D culture model systems: decoding cellular positioning mechanisms and microenvironmental dynamics.,multimodal_fusion,"biomarker_discovery, batch_correction, spatial_reconstruction, multimodal_integration","scRNA-seq, scATAC-seq, Protein/CITE-seq, Spatial, Methylation/Epigenomics"
429,Multi-omics analysis reveal clinical-gut-brain interactions in female ibs patients with adverse childhood experiences.,multimodal_fusion,"biomarker_discovery, multimodal_integration",unspecified
430,Multimodal analysis of whole slide images in colorectal cancer.,multimodal_fusion,"batch_correction, multimodal_integration",unspecified
431,Oculomics meets exposomics: a roadmap for applying multi-modal ocular biomarkers in precision environmental health research.,multimodal_fusion,biomarker_discovery,unspecified
432,CeDNe: A multi-scale computational framework for modeling structure-function relationships in the  nervous system.,multimodal_fusion,"generation, multimodal_integration",scRNA-seq
